name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,pm25
dhaka,2024-01-01,76.2,60.6,67.1,76.2,60.6,67.1,60.7,80.7,0.0,0,0.0,13.0,8.1,304.2,1015.6,14.3,1.2,157.8,13.6,7,10,0.67,249
dhaka,2024-01-02,71.7,58.9,63.6,71.7,58.9,63.6,57.9,82.2,0.0,0,0.0,11.4,6.9,312.7,1015.9,18.5,1.2,147.6,12.7,6,10,0.7,256
dhaka,2024-01-03,73.4,59.0,63.8,73.4,59.0,63.8,57.9,81.8,0.0,0,0.0,11.6,5.8,353.6,1015.8,39.2,1.3,169.6,14.7,7,10,0.73,225
dhaka,2024-01-04,75.4,57.2,65.1,75.4,57.2,65.1,59.2,82.1,0.0,0,0.0,11.9,4.7,79.3,1015.4,29.4,1.0,167.6,14.6,7,10,0.75,268
dhaka,2024-01-05,71.2,57.2,63.6,71.2,57.2,63.6,59.7,87.6,0.0,0,0.0,14.3,4.7,97.9,1016.2,39.8,0.9,181.6,15.5,7,10,0.8,226
dhaka,2024-01-06,78.6,58.8,67.6,78.6,58.8,67.6,57.9,73.4,0.0,0,0.0,13.0,9.2,313.5,1016.3,19.8,1.6,180.1,15.5,7,10,0.83,261
dhaka,2024-01-07,79.0,60.8,68.7,79.0,60.8,68.7,58.0,69.8,0.0,0,0.0,12.8,6.9,303.1,1017.1,0.0,1.9,175.4,15.1,7,10,0.86,218
dhaka,2024-01-08,77.0,60.8,67.6,77.0,60.8,67.6,59.5,76.4,0.0,0,0.0,15.0,10.3,303.4,1017.4,20.7,1.5,179.1,15.4,7,10,0.9,264
dhaka,2024-01-09,74.1,60.8,66.1,74.1,60.8,66.1,59.5,79.9,0.0,0,0.0,15.0,8.1,298.2,1016.6,22.0,1.3,183.1,15.7,7,10,0.93,265
dhaka,2024-01-10,75.2,57.2,64.9,75.2,57.2,64.9,58.7,81.0,0.0,0,0.0,12.8,6.9,334.7,1015.3,16.9,1.2,180.6,15.7,7,10,0.96,263
dhaka,2024-01-11,70.0,58.6,63.8,70.0,58.6,63.8,57.1,79.4,0.0,0,0.0,15.2,12.8,319.3,1016.7,8.7,1.3,172.4,14.9,7,10,0.0,258
dhaka,2024-01-12,64.4,57.2,60.2,64.4,57.2,60.2,54.3,81.2,0.0,0,0.0,16.3,10.3,303.4,1016.1,65.5,1.3,149.2,12.7,7,10,0.03,231
dhaka,2024-01-13,66.2,57.2,60.6,66.2,57.2,60.6,54.3,79.8,0.0,0,0.0,13.6,8.1,321.4,1015.8,86.3,2.0,179.6,15.5,7,10,0.06,212
dhaka,2024-01-14,64.4,57.2,60.6,64.4,57.2,60.6,56.1,85.5,0.0,0,0.0,9.2,5.8,293.9,1015.3,83.4,1.0,160.5,13.9,7,10,0.1,210
dhaka,2024-01-15,71.6,59.0,63.1,71.6,59.0,63.1,56.4,79.4,0.0,0,0.0,10.5,9.2,295.9,1014.9,64.6,1.4,162.4,13.9,6,10,0.13,221
dhaka,2024-01-16,64.5,57.2,59.9,64.5,57.2,59.9,54.4,82.2,0.0,0,0.0,8.5,5.8,298.6,1015.1,83.5,1.0,119.6,10.4,6,10,0.17,259
dhaka,2024-01-17,63.3,55.4,58.6,63.3,55.4,58.6,54.9,87.5,0.0,0,0.0,11.2,6.9,328.4,1015.5,76.4,0.8,158.8,13.7,6,10,0.2,259
